run number,win number
1,752
2,928
3,126
4,118
5,1813
6,86
7,1
8,183
9,1169
10,119
11,726
12,85
13,951
14,481
15,195
16,377
17,339
18,334
19,1923
20,205
21,236
22,681
23,1465
24,687
25,305
26,207
27,38
28,174
29,602
30,465
31,200
32,525
33,72
34,279
35,203
36,392
37,1303
38,97
39,443
40,225
41,16
42,1038
43,99
44,322
45,348
46,170
47,12
48,557
49,22
50,158
51,1362
52,1308
53,922
54,732
55,73
56,705
57,393
58,765
59,521
60,134
61,169
62,246
63,419
64,815
65,176
66,545
67,222
68,2138
69,469
70,0
71,823
72,51
73,218
74,386
75,1199
76,550
77,543
78,347
79,33
80,86
81,340
82,186
83,124
84,146
85,154
86,210
87,1263
88,298
89,1748
90,65
91,134
92,787
93,83
94,53
95,120
96,148
97,392
98,813
99,460
100,1717
