run number,win number
1,9
2,8
3,14
4,7
5,2
6,2
7,8
8,9
9,8
10,9
11,15
12,16
13,9
14,9
15,13
16,8
17,10
18,12
19,9
20,22
21,3
22,19
23,12
24,16
25,12
26,10
27,3
28,9
29,0
30,3
31,9
32,7
33,15
34,13
35,11
36,6
37,13
38,11
39,24
40,13
41,9
42,8
43,15
44,12
45,16
46,20
47,12
48,8
49,9
50,10
51,18
52,10
53,6
54,20
55,6
56,32
57,4
58,9
59,16
60,11
61,21
62,7
63,25
64,6
65,9
66,9
67,4
68,40
69,4
70,11
71,11
72,9
73,5
74,21
75,15
76,6
77,12
78,17
79,8
80,18
81,8
82,10
83,13
84,10
85,2
86,40
87,15
88,10
89,5
90,10
91,18
92,7
93,24
94,6
95,16
96,18
97,21
98,10
99,22
100,6
