run number,win number
1,12
2,7
3,9
4,15
5,23
6,16
7,22
8,10
9,1
10,10
11,14
12,19
13,4
14,8
15,4
16,7
17,3
18,10
19,18
20,14
21,31
22,10
23,10
24,25
25,7
26,20
27,16
28,8
29,5
30,5
31,20
32,18
33,15
34,7
35,8
36,44
37,8
38,4
39,9
40,19
41,13
42,12
43,4
44,5
45,8
46,11
47,14
48,29
49,25
50,18
51,23
52,24
53,10
54,16
55,12
56,17
57,6
58,5
59,27
60,4
61,12
62,28
63,5
64,4
65,13
66,41
67,11
68,11
69,5
70,8
71,38
72,36
73,6
74,32
75,12
76,6
77,8
78,9
79,40
80,18
81,15
82,16
83,13
84,15
85,16
86,18
87,7
88,11
89,12
90,4
91,6
92,6
93,18
94,9
95,17
96,6
97,9
98,24
99,17
100,21
